size_bytes,price,rating_count_tot,rating_count_ver,user_rating_ver,ver,cont_rating,prime_genre,sup_devices.num,ipadSc_urls.num,lang.num,vpp_lic,user_rating_label
199585792,0.0,7265,11,4.0,1473,1,18,37,5,2,1,0
244516864,0.0,844,1,1.0,1559,1,9,37,5,2,1,0
123450368,0.0,101,1,5.0,1436,0,4,37,5,1,1,0
157625344,0.0,34428,23,4.0,1312,1,18,37,4,30,1,0
75612160,1.99,36946,152,4.0,163,2,7,38,5,3,1,0
68153344,0.0,21090,1325,5.0,1436,2,5,37,4,1,1,0
84469760,2.99,653,8,4.5,980,0,7,37,1,31,1,0
100368384,3.99,1118,29,5.0,993,2,3,37,5,29,1,0
7344128,1.99,348,33,4.0,390,2,15,40,0,1,0,0
25097281,1.99,207,50,3.0,874,3,21,40,0,34,1,0
43439104,0.0,5000,23,4.5,768,0,8,37,5,10,1,0
83851264,3.99,15188,272,4.0,1275,0,8,37,0,2,1,0
118980608,0.0,18572,307,4.5,1027,0,13,37,3,1,1,0
76394496,4.99,6403,491,4.5,665,2,7,43,5,1,1,0
127382528,0.0,417779,914,4.5,602,0,17,37,4,10,1,0
48819200,4.99,9,1,5.0,1556,0,3,38,5,5,1,0
30977024,0.99,107,0,0.0,138,2,4,37,5,1,1,2
8073209,1.99,72,72,2.0,29,2,9,47,0,1,1,2
15676416,2.99,2044,10,3.0,1279,3,7,37,5,1,1,0
81876992,0.0,16683,21,2.5,1286,2,19,37,5,2,1,0
48700821,0.99,1455,1450,3.0,29,0,7,47,0,1,1,2
581353472,4.99,15056,751,4.0,90,1,7,40,0,3,1,0
9906176,0.99,249,5,4.5,391,2,14,37,0,1,1,0
114843648,7.99,6091,75,3.5,126,3,7,38,3,8,1,0
199450624,7.99,2754,55,2.5,118,3,7,38,5,6,1,0
529755136,4.99,9870,12,4.5,282,0,7,40,5,1,1,0
70516736,0.0,82602,13,4.5,1477,3,11,37,5,23,1,0
147066880,7.99,0,0,0.0,815,2,20,40,5,1,1,1
90241024,1.99,762,5,5.0,1064,2,3,37,5,1,1,0
174268416,1.99,160,2,3.0,620,2,3,37,5,1,1,0
187040768,0.0,9,0,0.0,1360,1,17,37,0,1,1,2
151864320,0.0,260965,228,3.0,553,0,18,37,0,14,0,0
4466688,1.99,2305,100,5.0,1055,2,14,37,5,4,1,0
35478528,4.99,137,21,5.0,881,2,20,37,3,10,1,0
31869952,0.0,11999,233,4.5,1042,2,4,37,4,1,1,0
21771264,1.99,1995,148,4.5,1389,0,14,38,5,14,1,0
103049216,2.99,35045,250,4.5,895,2,11,37,0,6,1,0
40586240,0.99,343,15,4.5,765,2,4,38,0,30,1,0
